Main_Stat,Main_Growth,Main_Base,Main_Base_Rank,Main_True_Rank,Sub_Stat,Sub_Growth,Sub_Base,Sub_Base_Rank,Sub_True_Rank,Result_Stat,Result_Growth,Result_Base,Result_Base_Rank,Result_True_Rank,Main_Result,Sub_Result,Type,Main,Sub,Rarity
999,1,60,4,6,999,4,130,3,3,128,1,60,4,6,1,0,Not Good,Cpandora,Cpandora,38
999,1,60,4,6,999,4,130,3,3,128,1,60,4,6,1,0,Not Good,Cpandora,Cpandora,38
999,1,60,4,6,999,4,130,3,3,212,4,130,3,4,0,1,Not Good,Durahan,Joker,29
999,1,60,4,6,999,4,130,3,3,185,2,90,6,5,0,0,Not Good,Joker,Joker,12
999,1,60,4,6,999,4,130,3,3,212,4,130,3,4,0,1,Not Good,Durahan,Joker,29
999,1,60,4,6,999,4,130,3,3,128,1,60,4,6,1,0,Not Good,Cpandora,Cpandora,38
999,1,60,4,6,999,4,130,3,3,212,4,130,3,4,0,1,Not Good,Durahan,Joker,29
999,4,130,3,3,999,1,60,4,6,259,5,180,1,1,0,0,Not Good,Durahan,Durahan,21
999,4,130,3,3,999,1,60,4,6,196,4,130,3,4,1,0,Not Good,Durahan,Joker,48
999,4,130,3,3,999,1,60,4,6,183,2,90,6,5,0,0,Not Good,Joker,Joker,14
999,4,130,3,3,999,1,60,4,6,196,4,130,3,4,1,0,Not Good,Durahan,Joker,48
999,4,130,3,3,999,1,60,4,6,183,2,90,6,5,0,0,Not Good,Joker,Joker,14
999,4,130,3,3,999,1,60,4,6,196,4,130,3,4,1,0,Not Good,Durahan,Joker,48
999,2,90,4,4,301,1,50,6,6,131,2,90,4,4,1,0,Not Good,Mew,Mew,73
999,2,90,4,4,301,1,50,6,6,131,2,90,4,4,1,0,Not Good,Mew,Mew,73
999,2,90,4,4,301,1,50,6,6,131,2,90,4,4,1,0,Not Good,Mew,Mew,73
301,1,50,6,6,999,2,90,4,4,78,1,50,6,6,1,0,Not Good,Ducken,Ducken,54
301,1,50,6,6,999,2,90,4,4,78,1,50,6,6,1,0,Not Good,Ducken,Ducken,54
301,1,50,6,6,999,2,90,4,4,125,2,90,4,5,0,1,Not Good,Mew,Mew,46
999,2,90,4,4,445,1,50,6,6,136,1,70,5,6,0,0,Up to You,Hopper,Hopper,19
999,2,90,4,4,445,1,50,6,6,116,1,50,6,6,0,1,Up to You,Hopper,Kato,29
999,2,90,4,4,445,1,50,6,6,136,1,70,5,6,0,0,Up to You,Hopper,Hopper,19
999,2,90,4,4,445,1,50,6,6,145,2,90,4,4,1,0,Up to You,Mew,Mew,45
