Main_Stat,Main_Growth,Main_Base,Main_Base_Rank,Main_True_Rank,Sub_Stat,Sub_Growth,Sub_Base,Sub_Base_Rank,Sub_True_Rank,Result_Stat,Result_Growth,Result_Base,Result_Base_Rank,Result_True_Rank,Main_Result,Sub_Result,Type,Main,Sub,Rarity
999,2,30,6,5,999,4,150,1,1,99,2,30,6,5,1,0,Not Good,Cpandora,Cpandora,38
999,2,30,6,5,999,4,150,1,1,99,2,30,6,5,1,0,Not Good,Cpandora,Cpandora,38
999,2,30,6,5,999,4,150,1,1,233,4,150,1,2,0,1,Not Good,Durahan,Joker,29
999,2,30,6,5,999,4,150,1,1,297,5,200,1,1,0,0,Not Good,Joker,Joker,12
999,2,30,6,5,999,4,150,1,1,233,4,150,1,2,0,1,Not Good,Durahan,Joker,29
999,2,30,6,5,999,4,150,1,1,99,2,30,6,5,1,0,Not Good,Cpandora,Cpandora,38
999,2,30,6,5,999,4,150,1,1,233,4,150,1,2,0,1,Not Good,Durahan,Joker,29
999,4,150,1,1,999,2,30,6,5,159,3,80,5,5,0,0,Not Good,Durahan,Durahan,21
999,4,150,1,1,999,2,30,6,5,216,4,150,1,2,1,0,Not Good,Durahan,Joker,48
999,4,150,1,1,999,2,30,6,5,293,5,200,1,1,0,0,Not Good,Joker,Joker,14
999,4,150,1,1,999,2,30,6,5,216,4,150,1,2,1,0,Not Good,Durahan,Joker,48
999,4,150,1,1,999,2,30,6,5,293,5,200,1,1,0,0,Not Good,Joker,Joker,14
999,4,150,1,1,999,2,30,6,5,216,4,150,1,2,1,0,Not Good,Durahan,Joker,48
405,2,70,6,6,702,3,130,2,3,94,2,70,6,6,1,0,Not Good,Mew,Mew,73
405,2,70,6,6,702,3,130,2,3,94,2,70,6,6,1,0,Not Good,Mew,Mew,73
405,2,70,6,6,702,3,130,2,3,94,2,70,6,6,1,0,Not Good,Mew,Mew,73
702,3,130,2,3,405,2,70,6,6,159,3,130,2,3,1,0,Not Good,Ducken,Ducken,54
702,3,130,2,3,405,2,70,6,6,159,3,130,2,3,1,0,Not Good,Ducken,Ducken,54
702,3,130,2,3,405,2,70,6,6,106,2,70,6,6,0,1,Not Good,Mew,Mew,46
405,2,70,6,6,981,4,130,3,3,155,3,110,3,4,0,0,Up to You,Hopper,Hopper,19
405,2,70,6,6,981,4,130,3,3,175,4,130,3,3,0,1,Up to You,Hopper,Kato,29
405,2,70,6,6,981,4,130,3,3,155,3,110,3,4,0,0,Up to You,Hopper,Hopper,19
405,2,70,6,6,981,4,130,3,3,108,2,70,6,6,1,0,Up to You,Mew,Mew,45
405,2,70,6,6,981,4,130,3,3,175,4,130,3,3,0,1,Up to You,Hopper,Kato,29
981,4,130,3,3,405,2,70,6,6,170,3,110,3,3,0,0,Up to You,Hopper,Hopper,20
981,4,130,3,3,405,2,70,6,6,240,5,170,1,2,0,0,Up to You,Kato,Kato,10
981,4,130,3,3,405,2,70,6,6,180,4,130,3,3,1,0,Up to You,Hopper,Kato,48
981,4,130,3,3,405,2,70,6,6,170,3,110,3,3,0,0,Up to You,Hopper,Hopper,20
974,5,170,1,1,968,4,150,2,2,218,5,170,1,1,1,0,Up to You,Pixie,Wracky,57
974,5,170,1,1,968,4,150,2,2,218,5,170,1,1,1,0,Up to You,Pixie,Wracky,57
974,5,170,1,1,968,4,150,2,2,224,4,140,2,2,0,0,Up to You,Wracky,Pixie,11
968,4,150,2,2,974,5,170,1,1,230,5,170,1,1,0,1,Up to You,Pixie,Wracky,33
968,4,150,2,2,974,5,170,1,1,210,4,150,2,2,1,0,Up to You,Wracky,Wracky,37
99,1,10,6,6,376,2,90,3,5,46,2,30,6,6,0,0,Unsure,Niton,Niton,10
99,1,10,6,6,376,2,90,3,5,21,1,10,6,6,1,0,Unsure,Metalner,Metalner,39
99,1,10,6,6,376,2,90,3,5,99,2,90,3,5,0,1,Unsure,Niton,Metalner,51
376,2,90,3,5,99,1,10,6,6,29,1,10,6,6,0,1,Unsure,Metalner,Metalner,22
376,2,90,3,5,99,1,10,6,6,103,2,90,3,4,1,0,Unsure,Niton,Metalner,69
376,2,90,3,5,99,1,10,6,6,103,2,90,3,4,1,0,Unsure,Niton,Metalner,69
376,2,90,3,5,999,4,150,1,1,199,4,150,1,4,0,1,Unsure,Durahan,Joker,11
376,2,90,3,5,999,4,150,1,1,115,2,80,5,6,0,0,Unsure,Niton,Durahan,35
376,2,90,3,5,999,4,150,1,1,199,4,150,1,4,0,1,Unsure,Durahan,Joker,11
376,2,90,3,5,999,4,150,1,1,129,2,80,5,5,0,0,Unsure,Durahan,Metalner,11
999,4,130,2,2,999,3,120,3,2,228,4,150,1,1,0,0,Great,Durahan,Joker,18
999,4,130,2,2,999,3,120,3,2,171,2,80,6,5,0,0,Great,Arrowhead,Durahan,11
999,4,130,2,2,999,3,120,3,2,155,3,90,5,5,0,0,Great,Durahan,Arrowhead,36
999,4,130,2,2,999,3,120,3,2,171,2,80,6,5,0,0,Great,Arrowhead,Durahan,11
999,4,130,2,2,999,3,120,3,2,496,4,130,2,2,1,0,Great,Durahan,Phoenix,18
999,4,130,2,2,999,4,140,2,2,213,3,110,3,3,0,0,Great,Golem,Golem,7
999,4,130,2,2,999,4,140,2,2,565,4,130,2,2,1,0,Great,Durahan,Phoenix,12
