Main_Stat,Main_Growth,Main_Base,Main_Base_Rank,Main_True_Rank,Sub_Stat,Sub_Growth,Sub_Base,Sub_Base_Rank,Sub_True_Rank,Result_Stat,Result_Growth,Result_Base,Result_Base_Rank,Result_True_Rank,Main_Result,Sub_Result,Type,Main,Sub,Rarity
999,5,170,1,1,999,3,100,5,5,233,5,170,1,1,1,0,Not Good,Cpandora,Cpandora,38
999,5,170,1,1,999,3,100,5,5,233,5,170,1,1,1,0,Not Good,Cpandora,Cpandora,38
999,5,170,1,1,999,3,100,5,5,176,3,100,5,5,0,1,Not Good,Durahan,Joker,29
999,5,170,1,1,999,3,100,5,5,208,3,120,3,4,0,0,Not Good,Joker,Joker,12
999,5,170,1,1,999,3,100,5,5,176,3,100,5,5,0,1,Not Good,Durahan,Joker,29
999,5,170,1,1,999,3,100,5,5,233,5,170,1,1,1,0,Not Good,Cpandora,Cpandora,38
999,5,170,1,1,999,3,100,5,5,176,3,100,5,5,0,1,Not Good,Durahan,Joker,29
999,3,100,5,5,999,5,170,1,1,178,3,100,4,4,0,0,Not Good,Durahan,Durahan,21
999,3,100,5,5,999,5,170,1,1,165,3,100,5,5,1,0,Not Good,Durahan,Joker,48
999,3,100,5,5,999,5,170,1,1,211,3,120,3,4,0,0,Not Good,Joker,Joker,14
999,3,100,5,5,999,5,170,1,1,165,3,100,5,5,1,0,Not Good,Durahan,Joker,48
999,3,100,5,5,999,5,170,1,1,211,3,120,3,4,0,0,Not Good,Joker,Joker,14
999,3,100,5,5,999,5,170,1,1,165,3,100,5,5,1,0,Not Good,Durahan,Joker,48
999,4,130,2,2,595,3,70,5,5,175,4,130,2,2,1,0,Not Good,Mew,Mew,73
999,4,130,2,2,595,3,70,5,5,175,4,130,2,2,1,0,Not Good,Mew,Mew,73
999,4,130,2,2,595,3,70,5,5,175,4,130,2,2,1,0,Not Good,Mew,Mew,73
595,3,70,5,5,999,4,130,2,2,108,3,70,5,5,1,0,Not Good,Ducken,Ducken,54
595,3,70,5,5,999,4,130,2,2,108,3,70,5,5,1,0,Not Good,Ducken,Ducken,54
595,3,70,5,5,999,4,130,2,2,177,4,130,2,3,0,1,Not Good,Mew,Mew,46
999,4,130,2,2,505,2,70,5,5,124,2,60,6,5,0,0,Up to You,Hopper,Hopper,19
999,4,130,2,2,505,2,70,5,5,134,2,70,5,5,0,1,Up to You,Hopper,Kato,29
999,4,130,2,2,505,2,70,5,5,124,2,60,6,5,0,0,Up to You,Hopper,Hopper,19
999,4,130,2,2,505,2,70,5,5,184,4,130,2,3,1,0,Up to You,Mew,Mew,45
999,4,130,2,2,505,2,70,5,5,134,2,70,5,5,0,1,Up to You,Hopper,Kato,29
505,2,70,5,5,999,4,130,2,2,111,2,60,6,5,0,0,Up to You,Hopper,Hopper,20
505,2,70,5,5,999,4,130,2,2,130,2,70,5,5,0,0,Up to You,Kato,Kato,10
505,2,70,5,5,999,4,130,2,2,113,2,70,5,5,1,0,Up to You,Hopper,Kato,48
505,2,70,5,5,999,4,130,2,2,111,2,60,6,5,0,0,Up to You,Hopper,Hopper,20
617,2,50,6,5,646,3,20,5,3,84,2,50,6,5,1,0,Up to You,Pixie,Wracky,57
617,2,50,6,5,646,3,20,5,3,84,2,50,6,5,1,0,Up to You,Pixie,Wracky,57
617,2,50,6,5,646,3,20,5,3,120,2,60,4,4,0,0,Up to You,Wracky,Pixie,11
646,3,20,5,3,617,2,50,6,5,95,2,50,6,5,0,1,Up to You,Pixie,Wracky,33
646,3,20,5,3,617,2,50,6,5,65,3,20,5,3,1,0,Up to You,Wracky,Wracky,37
999,3,50,3,3,907,3,80,4,2,185,3,90,2,2,0,0,Unsure,Niton,Niton,10
999,3,50,3,3,907,3,80,4,2,118,3,50,3,3,1,0,Unsure,Metalner,Metalner,39
999,3,50,3,3,907,3,80,4,2,134,3,80,4,3,0,1,Unsure,Niton,Metalner,51
