Main_Stat,Main_Growth,Main_Base,Main_Base_Rank,Main_True_Rank,Sub_Stat,Sub_Growth,Sub_Base,Sub_Base_Rank,Sub_True_Rank,Result_Stat,Result_Growth,Result_Base,Result_Base_Rank,Result_True_Rank,Main_Result,Sub_Result,Type,Main,Sub,Rarity
999,2,50,5,4,999,4,120,4,4,202,2,50,5,4,1,0,Not Good,Cpandora,Cpandora,38
999,2,50,5,4,999,4,120,4,4,207,2,50,5,4,1,0,Not Good,Cpandora,Cpandora,38
999,2,50,5,4,999,4,120,4,4,330,4,120,4,1,0,1,Not Good,Durahan,Joker,29
999,2,50,5,4,999,4,120,4,4,362,3,110,4,3,0,0,Not Good,Joker,Joker,12
999,2,50,5,4,999,4,120,4,4,325,4,120,4,1,0,1,Not Good,Durahan,Joker,29
999,2,50,5,4,999,4,120,4,4,198,2,50,5,4,1,0,Not Good,Cpandora,Cpandora,38
999,2,50,5,4,999,4,120,4,4,330,4,120,4,1,0,1,Not Good,Durahan,Joker,29
999,4,120,4,4,999,2,50,5,4,231,4,150,2,2,0,0,Not Good,Durahan,Durahan,21
999,4,120,4,4,999,2,50,5,4,295,4,120,4,1,1,0,Not Good,Durahan,Joker,48
999,4,120,4,4,999,2,50,5,4,336,3,110,4,3,0,0,Not Good,Joker,Joker,14
999,4,120,4,4,999,2,50,5,4,282,4,120,4,1,1,0,Not Good,Durahan,Joker,48
999,4,120,4,4,999,2,50,5,4,317,3,110,4,3,0,0,Not Good,Joker,Joker,14
999,4,120,4,4,999,2,50,5,4,295,4,120,4,1,1,0,Not Good,Durahan,Joker,48
824,2,80,5,5,672,3,80,4,4,121,2,80,5,5,1,0,Not Good,Mew,Mew,73
824,2,80,5,5,672,3,80,4,4,121,2,80,5,5,1,0,Not Good,Mew,Mew,73
824,2,80,5,5,672,3,80,4,4,121,2,80,5,5,1,0,Not Good,Mew,Mew,73
672,3,80,4,4,824,2,80,5,5,118,3,80,4,4,1,0,Not Good,Ducken,Ducken,54
672,3,80,4,4,824,2,80,5,5,118,3,80,4,4,1,0,Not Good,Ducken,Ducken,54
672,3,80,4,4,824,2,80,5,5,128,2,80,5,4,0,1,Not Good,Mew,Mew,46
824,2,80,5,5,607,2,80,4,4,160,3,100,4,3,0,0,Up to You,Hopper,Hopper,19
