Main_Stat,Main_Growth,Main_Base,Main_Base_Rank,Main_True_Rank,Sub_Stat,Sub_Growth,Sub_Base,Sub_Base_Rank,Sub_True_Rank,Result_Stat,Result_Growth,Result_Base,Result_Base_Rank,Result_True_Rank,Main_Result,Sub_Result,Type,Main,Sub,Rarity
999,3,110,2,2,218,1,80,6,6,157,3,110,2,3,1,0,Not Good,Cpandora,Cpandora,38
999,3,110,2,2,218,1,80,6,6,157,3,110,2,3,1,0,Not Good,Cpandora,Cpandora,38
999,3,110,2,2,218,1,80,6,6,137,1,80,6,6,0,1,Not Good,Durahan,Joker,29
999,3,110,2,2,218,1,80,6,6,166,2,100,5,6,0,0,Not Good,Joker,Joker,12
999,3,110,2,2,218,1,80,6,6,137,1,80,6,6,0,1,Not Good,Durahan,Joker,29
999,3,110,2,2,218,1,80,6,6,157,3,110,2,3,1,0,Not Good,Cpandora,Cpandora,38
999,3,110,2,2,218,1,80,6,6,137,1,80,6,6,0,1,Not Good,Durahan,Joker,29
218,1,80,6,6,999,3,110,2,2,104,1,70,6,6,0,0,Not Good,Durahan,Durahan,21
218,1,80,6,6,999,3,110,2,2,109,1,80,6,6,1,0,Not Good,Durahan,Joker,48
218,1,80,6,6,999,3,110,2,2,140,2,100,5,6,0,0,Not Good,Joker,Joker,14
218,1,80,6,6,999,3,110,2,2,109,1,80,6,6,1,0,Not Good,Durahan,Joker,48
218,1,80,6,6,999,3,110,2,2,140,2,100,5,6,0,0,Not Good,Joker,Joker,14
218,1,80,6,6,999,3,110,2,2,109,1,80,6,6,1,0,Not Good,Durahan,Joker,48
999,4,140,1,1,999,5,100,3,1,272,4,140,1,1,1,0,Not Good,Mew,Mew,73
999,4,140,1,1,999,5,100,3,1,248,4,140,1,1,1,0,Not Good,Mew,Mew,73
999,4,140,1,1,999,5,100,3,1,272,4,140,1,1,1,0,Not Good,Mew,Mew,73
999,5,100,3,1,999,4,140,1,1,213,5,100,3,1,1,0,Not Good,Ducken,Ducken,54
999,5,100,3,1,999,4,140,1,1,209,5,100,3,1,1,0,Not Good,Ducken,Ducken,54
999,5,100,3,1,999,4,140,1,1,308,4,140,1,1,0,1,Not Good,Mew,Mew,46
999,4,140,1,1,999,4,140,2,2,226,3,150,2,2,0,0,Up to You,Hopper,Hopper,19
999,4,140,1,1,999,4,140,2,2,216,4,140,2,2,0,1,Up to You,Hopper,Kato,29
999,4,140,1,1,999,4,140,2,2,226,3,150,2,2,0,0,Up to You,Hopper,Hopper,19
999,4,140,1,1,999,4,140,2,2,204,4,140,1,1,1,0,Up to You,Mew,Mew,45
999,4,140,1,1,999,4,140,2,2,216,4,140,2,2,0,1,Up to You,Hopper,Kato,29
999,4,140,2,2,999,4,140,1,1,226,3,150,2,2,0,0,Up to You,Hopper,Hopper,20
999,4,140,2,2,999,4,140,1,1,249,5,160,2,1,0,0,Up to You,Kato,Kato,10
999,4,140,2,2,999,4,140,1,1,204,4,140,2,2,1,0,Up to You,Hopper,Kato,48
999,4,140,2,2,999,4,140,1,1,226,3,150,2,2,0,0,Up to You,Hopper,Hopper,20
985,4,140,2,2,996,4,160,1,1,190,4,140,2,2,1,0,Up to You,Pixie,Wracky,57
985,4,140,2,2,996,4,160,1,1,190,4,140,2,2,1,0,Up to You,Pixie,Wracky,57
